Name,Sector,Gender,Number,Percentage
אילין,Arab,Female,93,0.55
אלמא,Arab,Female,70,0.41
אמל,Arab,Female,77,0.45
ביסאן,Arab,Female,176,1.04
גזל,Arab,Female,148,0.87
דימא,Arab,Female,93,0.55
איאן,Arab,Female,25,0.15
איה,Arab,Female,184,1.09
יארא,Arab,Female,28,0.17
לארא,Arab,Female,34,0.2
לונא,Arab,Female,17,0.1
לור,Arab,Female,42,0.25
אימאן,Arab,Female,70,0.41
אליאנה,Arab,Female,5,0.5
אלין,Arab,Female,256,1.51
למא,Arab,Female,77,0.45
למאר,Arab,Female,143,0.84
לנא,Arab,Female,76,0.45
אן,Arab,Female,9,0.81
אנוור,Arab,Female,17,0.1
אסיל,Arab,Female,131,0.77
אסלאם,Arab,Female,37,0.22
ארין,Arab,Female,28,0.17
בראאה,Arab,Female,38,0.22
ג'וד,Arab,Female,41,0.24
ג'נא,Arab,Female,332,1.96
גוד,Arab,Female,27,0.16
גורי,Arab,Female,134,0.79
דנה,Arab,Female,27,0.16
מיאר,Arab,Female,108,0.64
מייס,Arab,Female,68,0.4
מילא,Arab,Female,45,0.27
חלא,Arab,Female,192,1.13
מינא,Arab,Female,36,0.21
מירא,Arab,Female,79,0.47
חלא,Arab,Female,13,1.17
טליה,Arab,Female,17,0.1
יסמין,Arab,Female,163,0.96
נאי,Arab,Female,39,0.23
נאיא,Arab,Female,96,0.57
ירין,Arab,Female,17,0.1
לורין,Arab,Female,39,0.23
ליאל,Arab,Female,26,0.15
ליאן,Arab,Female,308,1.82
לילה,Arab,Female,49,0.29
ליליאן,Arab,Female,29,0.17
לין,Arab,Female,239,1.41
מאיה,Arab,Female,42,0.25
מילאן,Arab,Female,7,0.63
מיראל,Arab,Female,114,0.67
מלאק,Arab,Female,269,1.59
מריה,Arab,Female,110,0.65
מרים,Arab,Female,419,2.47
נאיה,Arab,Female,48,0.28
נור,Arab,Female,236,1.39
נטלי,Arab,Female,9,0.9
ניל,Arab,Female,16,0.09
סאלי,Arab,Female,30,0.18
סילין,Arab,Female,152,0.9
סימה,Arab,Female,66,0.39
סמר,Arab,Female,18,0.11
עדן,Arab,Female,96,0.57
רוז,Arab,Female,8,0.72
ריאן,Arab,Female,34,0.2
שרה,Arab,Female,126,0.74
אביב,Jew,Female,171,0.28
אביה,Jew,Female,192,0.31
אגם,Jew,Female,611,0.99
אדר,Jew,Female,59,0.1
אופיר,Jew,Female,319,0.52
אופק,Jew,Female,54,0.09
אופרי,Jew,Female,44,0.07
אור,Jew,Female,377,0.61
אוראל,Jew,Female,36,0.06
אורי,Jew,Female,328,0.53
אוריאן,Jew,Female,139,0.22
אוריה,Jew,Female,349,0.56
אורין,Jew,Female,190,0.31
אורן,Jew,Female,25,0.04
אושר,Jew,Female,50,0.08
אושרי,Jew,Female,12,0.02
איה,Jew,Female,85,0.14
אייר,Jew,Female,11,0.02
