Name,Sector,Gender,Number,Percentage
אביב,יהודי,זכר,350,0.54
אביב,יהודי,נקבה,171,0.28
אבראהים,ערבי,זכר,379,2.13
אביה,יהודי,זכר,18,0.03
אביה,יהודי,נקבה,192,0.31
אגם,יהודי,זכר,28,0.04
אגם,יהודי,נקבה,611,0.99
אדיר,יהודי,זכר,129,0.2
אדיר,ערבי,זכר,8,0.67
אדם,יהודי,זכר,475,0.73
אדם,ערבי,זכר,486,2.73
אווס,ערבי,זכר,38,0.21
אדר,יהודי,זכר,52,0.08
אדר,יהודי,נקבה,59,0.1
אדריאן,יהודי,זכר,10,0.02
אדריאן,ערבי,זכר,8,0.78
אופיר,יהודי,זכר,295,0.45
אופיר,יהודי,נקבה,319,0.52
אופק,יהודי,זכר,241,0.37
אופק,יהודי,נקבה,54,0.09
אופרי,יהודי,זכר,19,0.03
אופרי,יהודי,נקבה,44,0.07
אור,יהודי,זכר,415,0.64
אור,יהודי,נקבה,377,0.61
אוראל,יהודי,זכר,163,0.25
אוראל,יהודי,נקבה,36,0.06
אורי,יהודי,זכר,1477,2.27
אורי,יהודי,נקבה,328,0.53
איהאם,ערבי,זכר,112,0.63
אוריאן,יהודי,זכר,20,0.03
אוריאן,יהודי,נקבה,139,0.22
אוריה,יהודי,זכר,202,0.31
אוריה,יהודי,נקבה,349,0.56
אורין,יהודי,זכר,44,0.07
אורין,יהודי,נקבה,190,0.31
אורן,יהודי,זכר,109,0.17
אורן,יהודי,נקבה,25,0.04
אושר,יהודי,זכר,173,0.27
אושר,יהודי,נקבה,50,0.08
אושרי,יהודי,זכר,108,0.17
אושרי,יהודי,נקבה,12,0.02
אחמד,יהודי,זכר,11,0.02
אחמד,ערבי,זכר,968,5.44
אמין,ערבי,זכר,58,0.33
איאן,יהודי,זכר,6,0.01
איאן,ערבי,זכר,12,1
איאן,ערבי,נקבה,25,0.15
איה,יהודי,נקבה,85,0.14
איה,ערבי,נקבה,184,1.09
אייל,יהודי,זכר,291,0.45
אייל,ערבי,זכר,13,1.08
אייר,יהודי,זכר,9,0.01
אייר,יהודי,נקבה,11,0.02
אילי,יהודי,זכר,18,0.03
אילי,ערבי,זכר,6,0.59
אילי,יהודי,נקבה,6,0.01
באסל,ערבי,זכר,50,0.28
אימאן,ערבי,זכר,25,0.14
אימאן,ערבי,נקבה,70,0.41
אימרי,יהודי,זכר,130,0.2
ג'אד,ערבי,זכר,45,0.25
ג'ואד,ערבי,זכר,75,0.42
אימרי,יהודי,נקבה,10,0.02
אלי,יהודי,זכר,22,0.03
אלי,יהודי,נקבה,86,0.14
אליאנה,יהודי,נקבה,16,0.03
אליאנה,ערבי,נקבה,5,0.5
אליאס,יהודי,זכר,11,0.02
אליאס,ערבי,זכר,38,0.21
אליה,יהודי,זכר,603,0.93
אליה,יהודי,נקבה,251,0.41
אלין,יהודי,נקבה,262,0.42
אלין,ערבי,נקבה,256,1.51
אלירז,יהודי,זכר,24,0.04
אלירז,יהודי,נקבה,7,0.01
אלכס,יהודי,זכר,5,0.01
אלכס,יהודי,נקבה,49,0.08
אלמוג,יהודי,זכר,114,0.18
אלמוג,יהודי,נקבה,51,0.08
אמיר,יהודי,זכר,109,0.17
אמיר,ערבי,זכר,343,1.93
אן,יהודי,נקבה,41,0.07
אן,ערבי,נקבה,9,0.81
אנוור,ערבי,זכר,15,0.08
אנוור,ערבי,נקבה,17,0.1
אסיל,ערבי,זכר,16,0.09
האני,ערבי,זכר,33,0.19
אסיל,ערבי,נקבה,131,0.77
היית'ם,ערבי,זכר,22,0.12
אסיף,יהודי,זכר,11,0.02
אסיף,יהודי,נקבה,9,0.01
ודיע,ערבי,זכר,44,0.25
וסים,ערבי,זכר,56,0.31
ורד,ערבי,זכר,87,0.49
אסלאם,ערבי,זכר,26,0.15
אסלאם,ערבי,נקבה,37,0.22
אפק,יהודי,זכר,28,0.04
אפק,יהודי,נקבה,7,0.01
ארבל,יהודי,זכר,104,0.16
ארבל,יהודי,נקבה,128,0.21
ארז,יהודי,זכר,107,0.16
ארז,ערבי,זכר,13,1.08
אריאל,יהודי,זכר,1252,1.93
אריאל,יהודי,נקבה,526,0.85
אריה,יהודי,זכר,136,0.21
אריה,יהודי,נקבה,7,0.01
ארין,יהודי,נקבה,14,0.02
יזן,ערבי,זכר,141,0.79
ארין,ערבי,נקבה,28,0.17
בארי,יהודי,זכר,201,0.31
בארי,יהודי,נקבה,19,0.03
כמאל,ערבי,זכר,45,0.25
בר,יהודי,זכר,104,0.16
בר,יהודי,נקבה,151,0.24
בראאה,ערבי,זכר,28,0.16
בראאה,ערבי,נקבה,38,0.22
ג'וד,יהודי,זכר,14,0.02
ג'וד,ערבי,זכר,198,1.11
ג'וד,ערבי,נקבה,41,0.24
ג'וליאן,יהודי,זכר,10,0.02
ג'וליאן,ערבי,זכר,13,1.27
ג'נא,יהודי,נקבה,6,0.01
ג'נא,ערבי,נקבה,332,1.96
גבריאל,יהודי,זכר,152,0.23
גבריאל,ערבי,זכר,6,0.59
ליית,ערבי,זכר,57,0.32
גבריאל,יהודי,נקבה,10,0.02
גוד,ערבי,זכר,74,0.42
גוד,ערבי,נקבה,27,0.16
גוני,יהודי,זכר,22,0.03
גוני,יהודי,נקבה,19,0.03
גורי,יהודי,זכר,6,0.01
גורי,ערבי,נקבה,134,0.79
גיא,יהודי,זכר,563,0.87
גיא,יהודי,נקבה,7,0.01
גיל,יהודי,זכר,61,0.09
גיל,יהודי,נקבה,39,0.06
מג'ד,ערבי,זכר,141,0.79
גילי,יהודי,זכר,24,0.04
גילי,יהודי,נקבה,244,0.39
מוניר,ערבי,זכר,21,0.12
גל,יהודי,זכר,143,0.22
גל,יהודי,נקבה,120,0.19
גפן,יהודי,זכר,38,0.06
גפן,יהודי,נקבה,247,0.4
דור,יהודי,זכר,319,0.49
דור,יהודי,נקבה,29,0.05
דורון,יהודי,זכר,49,0.08
דורון,יהודי,נקבה,41,0.07
דורי,יהודי,זכר,20,0.03
דורי,יהודי,נקבה,7,0.01
דן,יהודי,זכר,194,0.3
דן,ערבי,זכר,16,1.33
דנה,יהודי,נקבה,71,0.11
דנה,ערבי,נקבה,27,0.16
דני,יהודי,זכר,12,0.02
דני,יהודי,נקבה,17,0.03
דניאל,יהודי,זכר,1191,1.83
דניאל,ערבי,זכר,20,1.67
דניאל,יהודי,נקבה,287,0.46
דר,יהודי,זכר,5,0.01
דר,יהודי,נקבה,9,0.01
דרור,יהודי,זכר,68,0.1
דרור,יהודי,נקבה,23,0.04
הדר,יהודי,זכר,74,0.11
הדר,יהודי,נקבה,411,0.66
הלל,יהודי,זכר,322,0.5
הלל,יהודי,נקבה,413,0.67
הראל,יהודי,זכר,606,0.93
הראל,יהודי,נקבה,18,0.03
זוהר,יהודי,זכר,98,0.15
זוהר,יהודי,נקבה,204,0.33
זיו,יהודי,זכר,142,0.22
זיו,יהודי,נקבה,88,0.14
חושן,יהודי,זכר,14,0.02
חושן,יהודי,נקבה,34,0.05
חלא,ערבי,נקבה,192,1.13
חלא,ערבי,נקבה,13,1.17
חן,יהודי,זכר,19,0.03
חן,יהודי,נקבה,83,0.13
טוהר,יהודי,זכר,38,0.06
טוהר,יהודי,נקבה,329,0.53
טל,יהודי,זכר,147,0.23
טל,יהודי,נקבה,144,0.23
טלאור,יהודי,זכר,5,0.01
טלאור,יהודי,נקבה,18,0.03
טליה,יהודי,נקבה,1063,1.72
טליה,ערבי,נקבה,17,0.1
יהב,יהודי,זכר,211,0.32
יהב,יהודי,נקבה,67,0.11
יהל,יהודי,זכר,58,0.09
יהל,יהודי,נקבה,77,0.12
יהלי,יהודי,זכר,259,0.4
יהלי,יהודי,נקבה,328,0.53
יובל,יהודי,זכר,422,0.65
יובל,יהודי,נקבה,574,0.93
יוסף,יהודי,זכר,1344,2.07
יוסף,ערבי,זכר,593,3.33
ים,יהודי,זכר,30,0.05
ים,יהודי,נקבה,29,0.05
יסמין,יהודי,נקבה,96,0.16
יסמין,ערבי,נקבה,163,0.96
ירדן,יהודי,זכר,127,0.2
ירדן,יהודי,נקבה,221,0.36
ירין,יהודי,זכר,211,0.32
ירין,יהודי,נקבה,50,0.08
ירין,ערבי,נקבה,17,0.1
כריסטיאן,יהודי,זכר,6,0.01
כריסטיאן,ערבי,זכר,11,1.08
כרם,יהודי,זכר,18,0.03
כרם,ערבי,זכר,173,0.97
כרם,יהודי,נקבה,21,0.03
כרמי,יהודי,זכר,26,0.04
כרמי,יהודי,נקבה,21,0.03
כרמל,יהודי,זכר,28,0.04
כרמל,יהודי,נקבה,157,0.25
לוטם,יהודי,זכר,16,0.02
לוטם,יהודי,נקבה,58,0.09
לורין,יהודי,נקבה,10,0.02
לורין,ערבי,נקבה,39,0.23
לי,יהודי,זכר,14,0.02
לי,יהודי,נקבה,36,0.06
ליאור,יהודי,זכר,374,0.58
ליאור,יהודי,נקבה,219,0.35
ליאל,יהודי,זכר,112,0.17
ליאל,יהודי,נקבה,287,0.46
ליאל,ערבי,נקבה,26,0.15
ליאם,יהודי,זכר,450,0.69
ליאם,ערבי,זכר,10,0.83
ליאם,יהודי,נקבה,100,0.16
ליאן,יהודי,נקבה,517,0.84
ליאן,ערבי,נקבה,308,1.82
ליבי,יהודי,זכר,13,0.02
ליבי,יהודי,נקבה,297,0.48
לילה,יהודי,נקבה,12,0.02
לילה,ערבי,נקבה,49,0.29
ליליאן,יהודי,נקבה,7,0.01
ליליאן,ערבי,נקבה,29,0.17
לין,יהודי,נקבה,57,0.09
לין,ערבי,נקבה,239,1.41
ליעד,יהודי,זכר,144,0.22
ליעד,יהודי,נקבה,26,0.04
לירון,יהודי,זכר,36,0.06
לירון,יהודי,נקבה,58,0.09
לירז,יהודי,זכר,11,0.02
לירז,יהודי,נקבה,43,0.07
לירי,יהודי,זכר,6,0.01
לירי,יהודי,נקבה,73,0.12
לירן,יהודי,זכר,54,0.08
לירן,ערבי,זכר,7,0.58
לירן,יהודי,נקבה,16,0.03
לישי,יהודי,זכר,10,0.02
לישי,יהודי,נקבה,9,0.01
לני,יהודי,זכר,52,0.08
לני,יהודי,נקבה,58,0.09
לשם,יהודי,זכר,7,0.01
לשם,יהודי,נקבה,12,0.02
מאור,יהודי,זכר,356,0.55
מאור,יהודי,נקבה,69,0.11
מאורי,יהודי,זכר,11,0.02
מאורי,יהודי,נקבה,11,0.02
מאיה,יהודי,נקבה,1200,1.94
מאיה,ערבי,נקבה,42,0.25
מוחמד,יהודי,זכר,45,0.07
מוחמד,ערבי,זכר,2600,14.62
מור,יהודי,זכר,27,0.04
מור,יהודי,נקבה,40,0.06
מורן,יהודי,זכר,10,0.02
מורן,יהודי,נקבה,8,0.01
מטר,יהודי,זכר,9,0.01
מטר,יהודי,נקבה,16,0.03
מיאל,יהודי,זכר,7,0.01
מיאל,יהודי,נקבה,28,0.05
מיכאל,יהודי,נקבה,8,0.01
מיכאל,יהודי,זכר,597,0.92
מיכל,יהודי,נקבה,753,1.22
מיכל,יהודי,זכר,17,0.03
מילאן,יהודי,זכר,11,0.02
מילאן,ערבי,נקבה,7,0.63
מיראל,יהודי,נקבה,11,0.02
מיראל,ערבי,נקבה,114,0.67
מירון,יהודי,נקבה,6,0.01
מירון,יהודי,זכר,25,0.04
מישל,יהודי,נקבה,89,0.14
מישל,יהודי,זכר,9,0.01
מיתר,יהודי,נקבה,43,0.07
מיתר,יהודי,זכר,11,0.02
מלאק,ערבי,זכר,66,0.37
מלאק,ערבי,נקבה,269,1.59
מנור,יהודי,נקבה,30,0.05
מנור,יהודי,זכר,11,0.02
מעיין,יהודי,נקבה,462,0.75
מעיין,יהודי,זכר,160,0.25
מרום,יהודי,נקבה,12,0.02
מרום,יהודי,זכר,28,0.04
מריה,יהודי,נקבה,19,0.03
מריה,ערבי,נקבה,110,0.65
מרים,יהודי,נקבה,555,0.9
מרים,ערבי,נקבה,419,2.47
מרק,יהודי,זכר,27,0.04
מרק,ערבי,זכר,11,1.08
מתן,יהודי,נקבה,16,0.03
מתן,יהודי,זכר,319,0.49
נאיה,יהודי,נקבה,14,0.02
נאיה,ערבי,נקבה,48,0.28
נועם,יהודי,נקבה,381,0.62
נועם,יהודי,זכר,1608,2.47
נור,יהודי,נקבה,11,0.02
נור,יהודי,זכר,5,0.01
נור,ערבי,זכר,73,0.41
נור,ערבי,נקבה,236,1.39
נטלי,יהודי,נקבה,46,0.07
נטלי,ערבי,נקבה,9,0.9
נטע,יהודי,נקבה,377,0.61
נטע,יהודי,זכר,67,0.1
ניב,יהודי,נקבה,7,0.01
ניב,יהודי,זכר,55,0.08
ניל,יהודי,זכר,26,0.04
ניל,ערבי,זכר,28,2.34
ניל,ערבי,נקבה,16,0.09
ניצן,יהודי,נקבה,75,0.12
ניצן,יהודי,זכר,32,0.05
ניר,יהודי,נקבה,15,0.02
ניר,יהודי,זכר,81,0.12
נרי,יהודי,נקבה,8,0.01
נרי,יהודי,זכר,13,0.02
נריה,יהודי,נקבה,15,0.02
נריה,יהודי,זכר,181,0.28
סאלי,יהודי,זכר,8,0.01
נביל,ערבי,זכר,28,0.16
סאלי,ערבי,נקבה,30,0.18
סהר,יהודי,נקבה,46,0.07
סהר,יהודי,זכר,126,0.19
סול,יהודי,נקבה,58,0.09
סול,יהודי,זכר,9,0.01
סיון,יהודי,נקבה,51,0.08
סיון,יהודי,זכר,8,0.01
סילין,יהודי,נקבה,6,0.01
סילין,ערבי,נקבה,152,0.9
סימה,יהודי,נקבה,34,0.05
סימה,ערבי,נקבה,66,0.39
סאלח,ערבי,זכר,104,0.58
סמר,ערבי,זכר,20,0.11
סארי,ערבי,זכר,14,0.08
סמר,ערבי,נקבה,18,0.11
סתיו,יהודי,נקבה,74,0.12
סולימאן,ערבי,זכר,125,0.7
סתיו,יהודי,זכר,29,0.04
סיף,ערבי,זכר,48,0.27
סלים,ערבי,זכר,36,0.2
סמיר,ערבי,זכר,35,0.2
עבד,יהודי,זכר,6,0.01
סעיד,ערבי,זכר,72,0.4
עבד,ערבי,זכר,508,2.86
עדי,יהודי,נקבה,540,0.87
עדי,יהודי,זכר,81,0.12
עדי,ערבי,זכר,26,0.15
עדיאל,יהודי,נקבה,12,0.02
עדיאל,יהודי,זכר,70,0.11
עדן,יהודי,נקבה,284,0.46
עדן,יהודי,זכר,52,0.08
אילין,ערבי,נקבה,93,0.55
עדן,ערבי,נקבה,96,0.57
עומר,יהודי,נקבה,169,0.27
עומר,יהודי,זכר,695,1.07
אלמא,ערבי,נקבה,70,0.41
אמל,ערבי,נקבה,77,0.45
עומר,ערבי,זכר,554,3.11
עומרי,יהודי,נקבה,6,0.01
עומרי,יהודי,זכר,332,0.51
עומרי,ערבי,זכר,65,0.37
עופר,יהודי,נקבה,6,0.01
ביסאן,ערבי,נקבה,176,1.04
עופר,יהודי,זכר,48,0.07
עופרי,יהודי,נקבה,348,0.56
עופרי,יהודי,זכר,75,0.12
עז,יהודי,זכר,7,0.01
עז,ערבי,זכר,47,0.26
גזל,ערבי,נקבה,148,0.87
דימא,ערבי,נקבה,93,0.55
עידן,יהודי,נקבה,18,0.03
עידן,יהודי,זכר,382,0.59
עינב,יהודי,נקבה,27,0.04
עינב,יהודי,זכר,5,0.01
יארא,ערבי,נקבה,28,0.17
עלי,יהודי,זכר,14,0.02
עלי,ערבי,זכר,425,2.39
לארא,ערבי,נקבה,34,0.2
לונא,ערבי,נקבה,17,0.1
לור,ערבי,נקבה,42,0.25
עמית,יהודי,נקבה,354,0.57
עמית,יהודי,זכר,607,0.93
עמנואל,יהודי,נקבה,69,0.11
עמנואל,יהודי,זכר,81,0.12
ענבר,יהודי,נקבה,116,0.19
ענבר,יהודי,זכר,29,0.04
למא,ערבי,נקבה,77,0.45
למאר,ערבי,נקבה,143,0.84
לנא,ערבי,נקבה,76,0.45
פאר,יהודי,נקבה,25,0.04
פאר,יהודי,זכר,32,0.05
פלג,יהודי,נקבה,24,0.04
פלג,יהודי,זכר,96,0.15
פריאל,יהודי,נקבה,51,0.08
פריאל,יהודי,זכר,11,0.02
ציון,יהודי,נקבה,13,0.02
ציון,יהודי,זכר,13,0.02
קדם,יהודי,נקבה,14,0.02
קדם,יהודי,זכר,14,0.02
ראם,יהודי,זכר,81,0.12
עיסא,ערבי,זכר,44,0.25
ראם,ערבי,זכר,6,0.5
רביד,יהודי,נקבה,20,0.03
רביד,יהודי,זכר,23,0.04
רוז,יהודי,נקבה,8,0.01
רוז,ערבי,נקבה,8,0.72
פאדי,ערבי,זכר,34,0.19
רום,יהודי,נקבה,14,0.02
פארס,ערבי,זכר,72,0.4
רום,יהודי,זכר,183,0.28
רומי,יהודי,נקבה,704,1.14
רומי,יהודי,זכר,16,0.02
רון,יהודי,נקבה,29,0.05
רון,יהודי,זכר,222,0.34
מיאר,ערבי,נקבה,108,0.64
מייס,ערבי,נקבה,68,0.4
מילא,ערבי,נקבה,45,0.27
רון,ערבי,זכר,7,0.58
מינא,ערבי,נקבה,36,0.21
מירא,ערבי,נקבה,79,0.47
רוני,יהודי,נקבה,657,1.06
רוני,יהודי,זכר,29,0.04
רותם,יהודי,נקבה,223,0.36
רותם,יהודי,זכר,137,0.21
נאי,ערבי,נקבה,39,0.23
נאיא,ערבי,נקבה,96,0.57
רז,יהודי,נקבה,52,0.08
רז,יהודי,זכר,86,0.13
ריאן,יהודי,זכר,10,0.02
ראני,ערבי,זכר,6,0.59
ריאן,ערבי,זכר,131,0.74
ריאן,ערבי,נקבה,34,0.2
ריף,יהודי,נקבה,14,0.02
ריף,יהודי,זכר,19,0.03
רם,יהודי,זכר,19,0.03
רם,ערבי,זכר,14,1.17
רני,יהודי,נקבה,49,0.08
רני,יהודי,זכר,68,0.1
שביט,יהודי,נקבה,12,0.02
שביט,יהודי,זכר,8,0.01
שובל,יהודי,נקבה,36,0.06
שובל,יהודי,זכר,14,0.02
שוהם,יהודי,נקבה,156,0.25
שוהם,יהודי,זכר,98,0.15
שחף,יהודי,נקבה,25,0.04
שחף,יהודי,זכר,21,0.03
שחר,יהודי,נקבה,237,0.38
שחר,יהודי,זכר,283,0.44
שי,יהודי,נקבה,201,0.32
שי,יהודי,זכר,186,0.29
שי-לי,יהודי,נקבה,176,0.28
שי-לי,יהודי,זכר,5,0.01
שילה,יהודי,נקבה,6,0.01
שילה,יהודי,זכר,190,0.29
שיר,יהודי,נקבה,306,0.49
שיר,יהודי,זכר,26,0.04
שמחה,יהודי,נקבה,16,0.03
שמחה,יהודי,זכר,102,0.16
שקד,יהודי,נקבה,308,0.5
תיים,ערבי,זכר,40,0.22
שקד,יהודי,זכר,116,0.18
שרה,יהודי,נקבה,863,1.39
שרה,ערבי,נקבה,126,0.74
נורה,ערבי,נקבה,22,0.13
שרון,יהודי,נקבה,26,0.04
שרון,יהודי,זכר,10,0.02
תבל,יהודי,נקבה,25,0.04
סילא,ערבי,נקבה,49,0.29
תבל,יהודי,זכר,13,0.02
תום,יהודי,נקבה,23,0.04
סמא,ערבי,נקבה,66,0.39
תום,יהודי,זכר,191,0.29
תומר,יהודי,נקבה,17,0.03
ראמא,ערבי,נקבה,68,0.4
רהף,ערבי,נקבה,209,1.23
תומר,יהודי,זכר,201,0.31
תמיר,יהודי,זכר,58,0.09
רפיף,ערבי,נקבה,69,0.41
תמיר,ערבי,זכר,8,0.67
תאלא,ערבי,נקבה,183,1.08
תולאי,ערבי,נקבה,22,0.13
תולין,ערבי,נקבה,112,0.66
תיא,ערבי,נקבה,20,0.12
אבי,יהודי,זכר,12,0.02
אביאור,יהודי,זכר,17,0.03
אביאל,יהודי,זכר,258,0.4
אביגדור,יהודי,זכר,19,0.03
אביהו,יהודי,זכר,18,0.03
אביחי,יהודי,זכר,61,0.09
אבינועם,יהודי,זכר,34,0.05
אביעד,יהודי,זכר,72,0.11
אביר,יהודי,זכר,5,0.01
אבירם,יהודי,זכר,8,0.01
