judge_a,judge_b,appearances,caseid
Uzi Vogelman,Esther Hayut,1107,0
Isaac Amit,Uzi Vogelman,874,0
Isaac Amit,Esther Hayut,823,0
Yoram Danziger,Uzi Vogelman,788,0
Uzi Vogelman,Daphne Barak-Erez,741,0
Yoram Danziger,Noam Sohlberg,676,0
Isaac Amit,Yoram Danziger,634,0
Uri Shoham,Neal Hendel,621,0
Isaac Amit,Uri Shoham,618,0
Neal Hendel,Noam Sohlberg,615,0
Isaac Amit,Elyakim Rubinstein,602,0
Esther Hayut,Daphne Barak-Erez,596,0
Isaac Amit,Noam Sohlberg,588,0
Elyakim Rubinstein,Yoram Danziger,586,0
Salim Joubran,Neal Hendel,575,0
Elyakim Rubinstein,Uzi Vogelman,562,0
Isaac Amit,Zvi Zilbertal,556,0
Noam Sohlberg,Hanan Melcer,537,0
Elyakim Rubinstein,Salim Joubran,526,0
Yoram Danziger,Zvi Zilbertal,525,0
Uzi Vogelman,Menahem Mazuz,525,0
Neal Hendel,Hanan Melcer,516,0
Salim Joubran,Uri Shoham,513,0
Miriam Naor,Esther Hayut,512,0
Elyakim Rubinstein,Hanan Melcer,499,0
Elyakim Rubinstein,Zvi Zilbertal,497,0
Uri Shoham,Yoram Danziger,495,0
Menahem Mazuz,Daphne Barak-Erez,488,0
Isaac Amit,Hanan Melcer,482,0
Elyakim Rubinstein,Neal Hendel,480,0
Salim Joubran,Yoram Danziger,478,0
Elyakim Rubinstein,Daphne Barak-Erez,464,0
Isaac Amit,Daphne Barak-Erez,463,0
Uzi Vogelman,Zvi Zilbertal,461,0
Uri Shoham,Hanan Melcer,461,0
Yoram Danziger,Neal Hendel,453,0
Zvi Zilbertal,Esther Hayut,431,0
Hanan Melcer,Daphne Barak-Erez,423,0
Elyakim Rubinstein,Uri Shoham,420,0
Yoram Danziger,Daphne Barak-Erez,419,0
Isaac Amit,Salim Joubran,410,0
Miriam Naor,Yoram Danziger,408,0
Neal Hendel,Zvi Zilbertal,399,0
Elyakim Rubinstein,Noam Sohlberg,398,0
Asher Grunis,Neal Hendel,384,0
Miriam Naor,Noam Sohlberg,381,0
Miriam Naor,Uzi Vogelman,381,0
Miriam Naor,Hanan Melcer,380,0
Asher Grunis,Uzi Vogelman,374,0
Salim Joubran,Hanan Melcer,372,0
Zvi Zilbertal,Hanan Melcer,372,0
Isaac Amit,Menahem Mazuz,371,0
Uzi Vogelman,Neal Hendel,370,0
Uri Shoham,Noam Sohlberg,366,0
Uzi Vogelman,Hanan Melcer,362,0
Miriam Naor,Isaac Amit,360,0
Miriam Naor,Daphne Barak-Erez,352,0
Miriam Naor,Elyakim Rubinstein,351,0
Miriam Naor,Zvi Zilbertal,350,0
Yoram Danziger,Menahem Mazuz,345,0
Asher Grunis,Hanan Melcer,341,0
Uzi Vogelman,Noam Sohlberg,336,0
Salim Joubran,Noam Sohlberg,334,0
Miriam Naor,Neal Hendel,331,0
Isaac Amit,Anat Baron,330,0
Salim Joubran,Zvi Zilbertal,319,0
Anat Baron,Yoram Danziger,316,0
Elyakim Rubinstein,Menahem Mazuz,313,0
Yoram Danziger,Esther Hayut,308,0
Elyakim Rubinstein,Esther Hayut,307,0
Uri Shoham,Esther Hayut,295,0
Miriam Naor,Uri Shoham,291,0
Uri Shoham,Uzi Vogelman,290,0
Noam Sohlberg,Esther Hayut,285,0
Isaac Amit,Neal Hendel,273,0
Esther Hayut,Hanan Melcer,270,0
Uri Shoham,Zvi Zilbertal,265,0
Neal Hendel,Esther Hayut,263,0
Anat Baron,Esther Hayut,262,0
Anat Baron,Noam Sohlberg,259,0
Neal Hendel,Daphne Barak-Erez,252,0
Miriam Naor,Asher Grunis,247,0
Menahem Mazuz,Esther Hayut,247,0
Asher Grunis,Esther Hayut,245,0
Anat Baron,Uri Shoham,244,0
Zvi Zilbertal,Daphne Barak-Erez,242,0
Uri Shoham,Daphne Barak-Erez,238,0
Anat Baron,Uzi Vogelman,236,0
Salim Joubran,Uzi Vogelman,233,0
Menahem Mazuz,Noam Sohlberg,233,0
Asher Grunis,Noam Sohlberg,233,0
Miriam Naor,Salim Joubran,232,0
